"","Record_Number","Run_ID","Date_Time","Study_Info","Time_Period","LT_Iteration","Risk_Iteration","Run_Status","Memory_Usage","Memory_Avail","Message_Type","Message","Message_Time"
"35",34,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Maintenance Schedule table in study: MST WECC 20180109","11/10/2022 10:57:20 AM"
"36",35,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Resources table in study: Resources","11/10/2022 10:57:20 AM"
"37",36,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Heat Rate Definitions table in study: Heat Rate Table","11/10/2022 10:57:20 AM"
"38",37,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Storage table in study: Storage Table","11/10/2022 10:57:20 AM"
"39",38,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Time Series Hourly tables in study: Renewable Derate Hourly, Alberta Hourly Demand_5, Link Capability Shaping","11/10/2022 10:57:20 AM"
"40",39,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Demand Monthly table in study: Demand Monthly_1","11/10/2022 10:57:20 AM"
"41",40,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Computer name running the simulation is SOB704910","11/10/2022 10:57:20 AM"
"42",41,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Change set(s) merged for run = 'No Change Sets' merged with Input Database.","11/10/2022 10:57:20 AM"
"43",42,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Aurora run starting for Run ID = 'Base Case'","11/10/2022 10:57:20 AM"
"44",43,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3072.3","13417.9","Informational","CANADA found in Resources table is not a valid Resource Group option for the resource Battle River #4 (BR4).  This Resource Group pointer will be ignored.","11/10/2022 10:57:20 AM"
"45",44,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3072.3","13417.9","Informational","WECC found in Resources table is not a valid Resource Group option for the resource Battle River #4 (BR4).  This Resource Group pointer will be ignored.","11/10/2022 10:57:20 AM"
"46",45,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Running"," 3072.3","13417.9","Informational","WECCSRCANADA found in Resources table is not a valid Resource Group option for the resource Battle River #4 (BR4).  This Resource Group pointer will be ignored.","11/10/2022 10:57:20 AM"
