,Date,Hour,Demand
362,2021-01-16,1,9216
363,2021-01-16,2,9173
364,2021-01-16,3,9176
365,2021-01-16,4,9167
366,2021-01-16,5,9235
367,2021-01-16,6,9348
368,2021-01-16,7,9553
369,2021-01-16,8,9775
370,2021-01-16,9,9833
371,2021-01-16,10,9908
372,2021-01-16,11,9995
373,2021-01-16,12,10011
374,2021-01-16,13,9974
375,2021-01-16,14,9955
376,2021-01-16,15,10030
377,2021-01-16,16,10187
378,2021-01-16,17,10587
379,2021-01-16,18,10498
380,2021-01-16,19,10336
381,2021-01-16,20,10164
382,2021-01-16,21,9996
383,2021-01-16,22,9740
384,2021-01-16,23,9525
385,2021-01-17,0,9373
386,2021-01-17,1,9278
387,2021-01-17,2,9226
388,2021-01-17,3,9229
389,2021-01-17,4,9258
390,2021-01-17,5,9343
391,2021-01-17,6,9471
392,2021-01-17,7,9662
393,2021-01-17,8,9898
394,2021-01-17,9,10011
395,2021-01-17,10,10148
396,2021-01-17,11,10261
397,2021-01-17,12,10254
398,2021-01-17,13,10244
399,2021-01-17,14,10245
400,2021-01-17,15,10265
401,2021-01-17,16,10481
402,2021-01-17,17,10818
403,2021-01-17,18,10656
404,2021-01-17,19,10515
405,2021-01-17,20,10366
406,2021-01-17,21,10107
407,2021-01-17,22,9840
408,2021-01-17,23,9571
409,2021-01-18,0,9350
410,2021-01-18,1,9268
411,2021-01-18,2,9194
412,2021-01-18,3,9194
413,2021-01-18,4,9290
414,2021-01-18,5,9463
415,2021-01-18,6,9771
416,2021-01-18,7,10218
417,2021-01-18,8,10474
418,2021-01-18,9,10447
419,2021-01-18,10,10531
420,2021-01-18,11,10640
421,2021-01-18,12,10671
422,2021-01-18,13,10624
423,2021-01-18,14,10621
424,2021-01-18,15,10621
425,2021-01-18,16,10761
426,2021-01-18,17,10981
427,2021-01-18,18,10831
428,2021-01-18,19,10728
429,2021-01-18,20,10546
430,2021-01-18,21,10321
431,2021-01-18,22,10047
432,2021-01-18,23,9814
433,2021-01-19,0,9638
434,2021-01-19,1,9582
435,2021-01-19,2,9551
436,2021-01-19,3,9569
437,2021-01-19,4,9603
438,2021-01-19,5,9747
439,2021-01-19,6,10093
440,2021-01-19,7,10538
441,2021-01-19,8,10673
442,2021-01-19,9,10652
443,2021-01-19,10,10680
444,2021-01-19,11,10719
445,2021-01-19,12,10715
446,2021-01-19,13,10655
447,2021-01-19,14,10605
448,2021-01-19,15,10582
449,2021-01-19,16,10658
450,2021-01-19,17,10817
451,2021-01-19,18,10655
452,2021-01-19,19,10477
453,2021-01-19,20,10117
454,2021-01-19,21,9860
455,2021-01-19,22,9639
456,2021-01-19,23,9461
457,2021-01-20,0,9424
458,2021-01-20,1,9326
459,2021-01-20,2,9172
460,2021-01-20,3,9186
461,2021-01-20,4,9265
462,2021-01-20,5,9449
463,2021-01-20,6,9816
464,2021-01-20,7,10307
465,2021-01-20,8,10521
466,2021-01-20,9,10527
467,2021-01-20,10,10558
468,2021-01-20,11,10636
469,2021-01-20,12,10618
470,2021-01-20,13,10590
471,2021-01-20,14,10545
472,2021-01-20,15,10612
473,2021-01-20,16,10746
474,2021-01-20,17,10991
475,2021-01-20,18,10899
476,2021-01-20,19,10738
477,2021-01-20,20,10626
478,2021-01-20,21,10406
479,2021-01-20,22,10117
480,2021-01-20,23,9881
481,2021-01-21,0,9700
482,2021-01-21,1,9605
483,2021-01-21,2,9521
484,2021-01-21,3,9503
485,2021-01-21,4,9528
486,2021-01-21,5,9571
487,2021-01-21,6,9901
488,2021-01-21,7,10363
489,2021-01-21,8,10567
490,2021-01-21,9,10584
491,2021-01-21,10,10591
492,2021-01-21,11,10602
493,2021-01-21,12,10626
494,2021-01-21,13,10589
495,2021-01-21,14,10619
496,2021-01-21,15,10619
497,2021-01-21,16,10707
498,2021-01-21,17,10827
499,2021-01-21,18,10804
500,2021-01-21,19,10664
501,2021-01-21,20,10474
502,2021-01-21,21,10249
503,2021-01-21,22,9977
