Date,Price ($),30Ravg ($),AIL Demand (MW)
01/03/2020 07,36.67,43.68,9984
01/03/2020 08,35.43,43.68,10302
01/03/2020 09,36.58,43.7,10581
01/03/2020 10,36.71,43.71,10637
01/03/2020 11,36.74,43.72,10703
01/03/2020 12,35.71,43.73,10733
01/03/2020 13,35.32,43.73,10681
01/03/2020 14,35.33,43.74,10685
01/03/2020 15,35.56,43.75,10694
01/03/2020 16,35.32,43.76,10741
01/03/2020 17,35.47,43.76,10955
01/03/2020 18,36.02,43.77,11093
01/03/2020 19,35.9,43.77,10941
01/03/2020 20,35.23,43.75,10781
01/03/2020 21,35.32,43.72,10625
01/03/2020 22,35.2,43.69,10449
01/03/2020 23,28.96,43.68,10194
01/03/2020 24,28.9,43.66,9965
01/04/2020 01,28.9,43.64,9772
01/04/2020 02,27.49,43.62,9621
01/04/2020 03,26.01,43.6,9505
01/04/2020 04,26.01,43.58,9430
01/04/2020 05,25.79,43.56,9395
01/04/2020 06,25,43.53,9432
01/04/2020 07,25.04,43.5,9542
01/04/2020 08,28.27,43.46,9832
01/04/2020 09,32.29,43.45,10109
01/04/2020 10,34.14,43.44,10252
01/04/2020 11,35.49,43.41,10380
01/04/2020 12,33.79,43.33,10426
01/04/2020 13,36.11,43.3,10416
01/04/2020 14,34.18,43.27,10352
01/04/2020 15,33.93,43.25,10349
01/04/2020 16,33.98,43.24,10425
01/04/2020 17,35.27,43.23,10663
01/04/2020 18,36.87,43.2,10955
01/04/2020 19,34.01,43.19,10811
01/04/2020 20,33.86,43.18,10644
01/04/2020 21,33.86,43.16,10505
01/04/2020 22,34.97,43.14,10381
01/04/2020 23,32.52,43.13,10170
01/04/2020 24,28.73,43.11,9931
01/05/2020 01,28.9,43.1,9773
01/05/2020 02,28.2,43.08,9644
01/05/2020 03,25.22,43.07,9534
01/05/2020 04,25.07,43.05,9507
01/05/2020 05,25.85,43.03,9512
01/05/2020 06,28.06,43.02,9534
01/05/2020 07,28.06,43.01,9628
01/05/2020 08,28.42,43,9824
01/05/2020 09,28.9,42.98,10058
01/05/2020 10,30.01,42.96,10170
01/05/2020 11,33.03,42.94,10265
01/05/2020 12,33.03,42.91,10301
01/05/2020 13,33.03,42.88,10331
01/05/2020 14,33.25,42.85,10307
01/05/2020 15,33.08,42.82,10306
01/05/2020 16,33.74,42.82,10421
01/05/2020 17,38.92,42.79,10710
01/05/2020 18,51.8,42.81,11054
01/05/2020 19,35.58,42.82,10958
01/05/2020 20,35.61,42.83,10783
01/05/2020 21,35.66,42.83,10640
01/05/2020 22,35.51,42.84,10389
01/05/2020 23,33.11,42.83,10060
01/05/2020 24,30.93,42.82,9822
01/06/2020 01,31.74,42.82,9683
01/06/2020 02,28.91,42.82,9585
01/06/2020 03,29.17,42.83,9497
01/06/2020 04,32.94,42.83,9491
01/06/2020 05,34.96,42.84,9591
01/06/2020 06,35.83,42.85,9829
01/06/2020 07,37.94,42.87,10271
01/06/2020 08,39.18,42.88,10751
01/06/2020 09,74.15,42.93,10927
01/06/2020 10,36.05,42.93,10923
01/06/2020 11,35.94,42.92,10936
01/06/2020 12,36.84,42.91,10847
01/06/2020 13,37.41,42.91,10787
01/06/2020 14,39.96,42.91,10813
01/06/2020 15,59.98,42.94,10795
01/06/2020 16,115.18,43.04,10865
01/06/2020 17,111.95,43.07,11110
01/06/2020 18,415.49,42.87,11246
01/06/2020 19,82.48,42.9,11104
01/06/2020 20,35.69,42.79,11008
01/06/2020 21,71.72,42.8,10882
01/06/2020 22,70.82,42.82,10596
01/06/2020 23,40.1,42.78,10367
01/06/2020 24,37.09,42.77,10099
01/07/2020 01,34.48,42.76,9932
01/07/2020 02,32.97,42.75,9827
01/07/2020 03,35.64,42.76,9773
01/07/2020 04,35.6,42.77,9749
01/07/2020 05,37.01,42.78,9825
01/07/2020 06,37,42.78,9984
01/07/2020 07,116.53,42.89,10340
01/07/2020 08,86.92,42.96,10815
01/07/2020 09,50.21,42.97,11058
01/07/2020 10,35.66,42.95,11029
01/07/2020 11,35.49,42.92,11056
01/07/2020 12,40.62,42.9,11080
01/07/2020 13,35.8,42.89,11112
01/07/2020 14,42.67,42.86,11124
01/07/2020 15,32.94,42.82,11103
01/07/2020 16,33.05,42.73,11200
01/07/2020 17,32.97,42.66,11384
01/07/2020 18,32.94,42.4,11489
01/07/2020 19,32.98,42.37,11319
01/07/2020 20,29.85,42.36,11147
01/07/2020 21,32.05,42.34,11023
01/07/2020 22,29.5,42.33,10773
01/07/2020 23,28.08,42.32,10402
01/07/2020 24,27.15,42.3,10061
01/08/2020 01,27.25,42.29,9869
01/08/2020 02,26.63,42.28,9728
01/08/2020 03,25.41,42.28,9676
01/08/2020 04,26.93,42.28,9727
01/08/2020 05,28.02,42.28,9808
01/08/2020 06,30.58,42.28,10009
01/08/2020 07,31.97,42.28,10408
01/08/2020 08,34.76,42.28,10868
01/08/2020 09,34.73,42.28,11064
01/08/2020 10,36.81,42.27,11020
01/08/2020 11,35.59,42.2,11024
01/08/2020 12,34.48,42.05,11041
01/08/2020 13,34.59,41.86,11052
01/08/2020 14,35.25,41.8,11092
01/08/2020 15,33.15,41.76,11080
01/08/2020 16,34.82,41.69,11177
01/08/2020 17,38.74,41.63,11373
01/08/2020 18,208.91,41.8,11503
01/08/2020 19,56.15,41.77,11388
01/08/2020 20,52.58,41.71,11250
01/08/2020 21,42.92,41.7,11078
01/08/2020 22,44.96,41.7,10837
01/08/2020 23,37.96,41.7,10535
01/08/2020 24,37.3,41.71,10269
01/09/2020 01,34.62,41.71,10017
01/09/2020 02,33.34,41.71,9847
01/09/2020 03,33.88,41.72,9815
01/09/2020 04,34.29,41.72,9797
01/09/2020 05,33.42,41.73,9857
01/09/2020 06,35.82,41.74,10071
01/09/2020 07,38.47,41.74,10457
01/09/2020 08,37.08,41.74,10871
01/09/2020 09,42.02,41.75,11081
01/09/2020 10,50.39,41.76,11109
01/09/2020 11,59.86,41.8,11166
01/09/2020 12,69.39,41.84,11179
01/09/2020 13,38.64,41.84,11119
01/09/2020 14,57.94,41.86,11087
01/09/2020 15,39.95,41.85,11080
01/09/2020 16,49.62,41.81,11144
01/09/2020 17,60.6,41.77,11335
01/09/2020 18,135.98,41.62,11509
01/09/2020 19,46.79,41.39,11449
01/09/2020 20,47.82,41.41,11411
01/09/2020 21,51.58,41.42,11357
01/09/2020 22,42.14,41.43,11105
01/09/2020 23,38.54,41.44,10812
01/09/2020 24,38.42,41.45,10517
01/10/2020 01,38.42,41.46,10324
01/10/2020 02,38.24,41.48,10223
01/10/2020 03,37.3,41.49,10186
01/10/2020 04,34.82,41.5,10165
01/10/2020 05,32.23,41.5,10208
01/10/2020 06,29.45,41.5,10368
01/10/2020 07,30.37,41.49,10723
01/10/2020 08,33.89,41.49,11151
01/10/2020 09,35.92,41.47,11288
01/10/2020 10,34.04,41.46,11309
01/10/2020 11,34.49,41.41,11362
01/10/2020 12,34.01,41.22,11341
01/10/2020 13,33.33,41.16,11328
01/10/2020 14,34.4,41.15,11286
01/10/2020 15,34.69,41.1,11232
01/10/2020 16,33.33,41.1,11246
01/10/2020 17,33.2,41.09,11443
01/10/2020 18,33.24,41.08,11493
01/10/2020 19,33.39,41.07,11327
01/10/2020 20,33.28,41.07,11210
01/10/2020 21,33.38,40.68,11128
01/10/2020 22,33.21,40.67,10919
01/10/2020 23,30.48,40.67,10667
01/10/2020 24,29.52,40.66,10406
01/11/2020 01,29.46,40.66,10235
01/11/2020 02,29.48,40.66,10102
01/11/2020 03,29.45,40.65,9980
01/11/2020 04,29.58,40.65,9905
01/11/2020 05,34.64,40.66,10046
01/11/2020 06,34.77,40.66,10141
01/11/2020 07,36.47,40.66,10312
01/11/2020 08,37.16,40.66,10518
01/11/2020 09,37.26,40.66,10772
01/11/2020 10,38.72,40.67,10882
01/11/2020 11,39.23,40.68,10959
01/11/2020 12,76.05,40.74,10998
01/11/2020 13,72.79,40.79,10884
01/11/2020 14,58.37,40.82,10898
01/11/2020 15,58.72,40.85,10856
01/11/2020 16,70.99,40.89,10924
01/11/2020 17,42.31,40.86,11103
01/11/2020 18,80.09,40.85,11399
01/11/2020 19,67.27,40.89,11295
01/11/2020 20,55.46,40.89,11202
01/11/2020 21,42.31,40.83,11093
01/11/2020 22,41.41,40.77,10935
01/11/2020 23,39.95,40.76,10699
01/11/2020 24,37.23,40.75,10485
01/12/2020 01,36.02,40.74,10337
01/12/2020 02,30.06,40.73,10193
01/12/2020 03,29.47,40.72,10082
01/12/2020 04,29.35,40.71,10056
01/12/2020 05,29.38,40.69,10004
01/12/2020 06,29.41,40.68,10056
01/12/2020 07,31.95,40.55,10170
01/12/2020 08,37.52,40.5,10417
01/12/2020 09,41.98,40.5,10694
01/12/2020 10,74.44,40.55,10713
01/12/2020 11,57.69,40.53,10853
01/12/2020 12,76.53,40.58,10962
01/12/2020 13,59.99,40.61,11067
01/12/2020 14,60.83,40.65,11050
01/12/2020 15,72.58,40.66,11119
01/12/2020 16,75.09,40.69,11213
01/12/2020 17,484.87,41.22,11397
01/12/2020 18,897.73,42.37,11650
01/12/2020 19,789.41,43.41,11523
01/12/2020 20,669.02,44.29,11373
01/12/2020 21,162.54,44.44,11254
01/12/2020 22,63.29,44.15,11149
01/12/2020 23,48.91,44.1,10916
01/12/2020 24,192.88,44.29,10534
01/13/2020 01,174.7,44.49,10362
01/13/2020 02,54.46,44.52,10298
01/13/2020 03,70.7,44.57,10253
01/13/2020 04,77.7,44.64,10204
01/13/2020 05,90,44.72,10257
01/13/2020 06,135.51,44.86,10407
01/13/2020 07,616.46,45.67,10652
01/13/2020 08,662.25,46.53,11000
01/13/2020 09,861.24,47.68,11173
01/13/2020 10,941.23,48.92,11227
01/13/2020 11,941.23,50.05,11279
01/13/2020 12,937.07,51.28,11329
01/13/2020 13,935.19,52.49,11356
01/13/2020 14,924.14,53.7,11315
01/13/2020 15,908.21,54.91,11272
01/13/2020 16,887.07,56.09,11254
01/13/2020 17,917.01,57.31,11406
01/13/2020 18,998.52,58.64,11693
01/13/2020 19,999.99,59.97,11609
01/13/2020 20,999.99,61.31,11447
01/13/2020 21,999.99,62.65,11296
01/13/2020 22,992.64,63.98,11077
01/13/2020 23,689.32,64.9,10729
01/13/2020 24,177.12,65.1,10431
01/14/2020 01,79.13,65.17,10328
01/14/2020 02,45.08,65.2,10279
01/14/2020 03,45.03,65.22,10238
01/14/2020 04,56.04,65.25,10273
01/14/2020 05,65.88,65.3,10315
01/14/2020 06,69.78,65.35,10501
01/14/2020 07,617.74,66.16,10816
01/14/2020 08,978.21,67.47,11182
01/14/2020 09,978.21,68.79,11334
01/14/2020 10,994.48,70.11,11363
01/14/2020 11,999.94,71.45,11373
01/14/2020 12,997.02,72.78,11393
01/14/2020 13,973.67,74.06,11358
01/14/2020 14,965.32,75.35,11290
01/14/2020 15,787.25,76.39,11267
01/14/2020 16,775.75,77.42,11290
01/14/2020 17,820.8,78.51,11435
01/14/2020 18,919.63,79.73,11698
01/14/2020 19,825.96,80.83,11602
01/14/2020 20,368.7,81.29,11458
01/14/2020 21,93.44,81.37,11393
01/14/2020 22,134.31,81.51,11155
01/14/2020 23,77.07,81.57,10892
01/14/2020 24,63.79,81.62,10658
01/15/2020 01,58.06,81.66,10478
01/15/2020 02,68.12,81.71,10390
01/15/2020 03,80.6,81.79,10355
01/15/2020 04,119.33,81.91,10318
01/15/2020 05,547.48,82.64,10298
01/15/2020 06,575.02,83.39,10402
01/15/2020 07,610.76,84.2,10749
01/15/2020 08,995.52,85.55,11068
01/15/2020 09,999.6,86.89,11234
01/15/2020 10,999.58,88.24,11226
01/15/2020 11,998.95,89.58,11209
01/15/2020 12,891.45,90.77,11155
01/15/2020 13,850.22,91.91,11112
01/15/2020 14,852.55,93.05,11112
01/15/2020 15,980.42,94.37,11052
01/15/2020 16,980.42,95.68,11084
01/15/2020 17,926.57,96.92,11254
01/15/2020 18,993.47,98.25,11562
01/15/2020 19,926.37,99.48,11474
01/15/2020 20,901.28,100.68,11354
01/15/2020 21,710.5,101.62,11210
01/15/2020 22,640.69,102.47,11032
01/15/2020 23,252.02,102.78,10708
01/15/2020 24,234.28,103.06,10557
01/16/2020 01,73.38,103.12,10435
01/16/2020 02,88.13,103.21,10327
01/16/2020 03,88.13,103.29,10280
01/16/2020 04,83.83,103.37,10239
01/16/2020 05,89.33,103.45,10253
01/16/2020 06,289.72,103.81,10328
01/16/2020 07,524.3,104.5,10641
01/16/2020 08,751.62,105.5,10998
01/16/2020 09,999.65,106.84,11181
01/16/2020 10,999.99,108.18,11238
01/16/2020 11,999.99,109.52,11276
01/16/2020 12,963.78,110.81,11266
01/16/2020 13,976,112.11,11230
01/16/2020 14,865.4,113.26,11188
01/16/2020 15,896.7,114.45,11168
01/16/2020 16,994.3,115.79,11200
01/16/2020 17,994.53,117.12,11287
01/16/2020 18,999.53,118.44,11522
01/16/2020 19,995.46,119.77,11412
01/16/2020 20,994.3,121.1,11275
01/16/2020 21,743.73,122.08,11096
01/16/2020 22,80.65,122.14,10951
01/16/2020 23,73.78,122.2,10676
01/16/2020 24,67.28,122.26,10413
01/17/2020 01,38,122.27,10261
01/17/2020 02,31.94,122.28,10178
01/17/2020 03,29.6,122.28,10133
01/17/2020 04,33.29,122.29,10182
01/17/2020 05,31.02,122.29,10215
01/17/2020 06,39.86,122.3,10376
01/17/2020 07,58.41,122.34,10669
01/17/2020 08,132.66,122.48,11071
01/17/2020 09,143.2,122.62,11249
01/17/2020 10,168,122.8,11295
01/17/2020 11,263,123.11,11328
01/17/2020 12,63.77,123.13,11363
01/17/2020 13,77.76,123.17,11357
01/17/2020 14,167.2,123.35,11274
01/17/2020 15,82.44,123.42,11246
01/17/2020 16,101.01,123.51,11216
01/17/2020 17,242.53,123.77,11270
01/17/2020 18,815.9,124.84,11428
01/17/2020 19,721.62,125.8,11282
01/17/2020 20,145.19,125.96,11203
01/17/2020 21,59.75,126,11236
01/17/2020 22,46.07,126.01,11137
01/17/2020 23,40.9,126.03,10868
01/17/2020 24,34.92,126.04,10650
01/18/2020 01,34.35,126.04,10492
01/18/2020 02,39.49,126.06,10414
01/18/2020 03,35.07,126.07,10299
01/18/2020 04,33.78,126.08,10238
01/18/2020 05,32.8,126.08,10278
01/18/2020 06,33.06,126.08,10352
01/18/2020 07,39.01,126.09,10452
01/18/2020 08,34.28,126.08,10738
01/18/2020 09,39.91,126.08,10911
01/18/2020 10,39.41,126.08,11012
01/18/2020 11,39.86,126.09,11103
01/18/2020 12,39.75,126.1,11119
01/18/2020 13,39.6,126.1,11092
01/18/2020 14,39.07,126.11,11062
01/18/2020 15,39.28,126.12,11027
01/18/2020 16,38.42,126.12,11028
01/18/2020 17,49.69,126.13,11199
01/18/2020 18,64.54,126.11,11456
01/18/2020 19,58.23,126.14,11372
01/18/2020 20,40.58,126.13,11232
01/18/2020 21,37.91,126.08,11098
01/18/2020 22,33.43,125.94,10928
01/18/2020 23,32.28,125.9,10693
01/18/2020 24,35.01,125.89,10520
01/19/2020 01,33.26,125.89,10325
01/19/2020 02,31.72,125.89,10205
01/19/2020 03,29.42,125.88,10140
01/19/2020 04,29.38,125.88,10113
01/19/2020 05,29.73,125.89,10141
01/19/2020 06,29.48,125.89,10179
01/19/2020 07,29.43,125.89,10292
01/19/2020 08,29.46,125.88,10463
01/19/2020 09,29.41,125.87,10642
01/19/2020 10,30.42,125.86,10711
01/19/2020 11,29.47,125.84,10821
01/19/2020 12,29.41,125.83,10868
01/19/2020 13,29.48,125.82,10879
01/19/2020 14,29.81,125.81,10834
01/19/2020 15,29.81,125.79,10825
01/19/2020 16,29.8,125.78,10881
01/19/2020 17,30.59,125.72,10969
01/19/2020 18,37.16,125.67,11313
01/19/2020 19,34.97,125.63,11100
01/19/2020 20,34.5,125.63,10946
01/19/2020 21,32.25,125.62,10791
01/19/2020 22,29.82,125.6,10594
01/19/2020 23,28.8,125.59,10310
01/19/2020 24,27.01,125.57,10032
01/20/2020 01,25.32,125.56,9870
01/20/2020 02,27.55,125.55,9774
01/20/2020 03,29.34,125.55,9692
01/20/2020 04,29.48,125.55,9697
01/20/2020 05,29.37,125.55,9768
01/20/2020 06,31.21,125.55,9912
01/20/2020 07,39.16,125.57,10280
01/20/2020 08,37.95,125.58,10662
01/20/2020 09,33.78,125.58,10831
01/20/2020 10,39.11,125.58,10822
01/20/2020 11,36.58,125.58,10821
01/20/2020 12,33.54,125.57,10833
01/20/2020 13,33.62,125.57,10811
01/20/2020 14,38.19,125.57,10796
01/20/2020 15,39.11,125.58,10774
01/20/2020 16,42.42,125.59,10853
01/20/2020 17,44.12,125.6,11010
01/20/2020 18,52.99,125.62,11214
01/20/2020 19,41.16,125.63,11077
01/20/2020 20,49.79,125.65,10882
01/20/2020 21,37.43,125.65,10774
01/20/2020 22,35.34,125.65,10523
01/20/2020 23,33.02,125.64,10144
01/20/2020 24,31.87,125.64,9815
01/21/2020 01,31.41,125.63,9624
01/21/2020 02,29.07,125.62,9545
01/21/2020 03,28.86,125.61,9470
01/21/2020 04,28.78,125.6,9455
01/21/2020 05,28.93,125.59,9477
01/21/2020 06,31.48,125.58,9640
01/21/2020 07,36.1,125.57,10062
01/21/2020 08,37.4,125.57,10524
01/21/2020 09,39.63,125.58,10658
01/21/2020 10,44.28,125.49,10611
01/21/2020 11,39.86,125.35,10512
01/21/2020 12,39.66,125.34,10457
01/21/2020 13,38.28,125.3,10441
01/21/2020 14,48.34,125.29,10447
01/21/2020 15,41.61,125.27,10430
01/21/2020 16,38.03,125.14,10494
01/21/2020 17,40.49,124.97,10651
01/21/2020 18,42.45,124.78,10946
01/21/2020 19,38.13,124.77,10833
01/21/2020 20,35.96,124.77,10750
01/21/2020 21,29.15,124.75,10575
01/21/2020 22,29.12,124.73,10310
01/21/2020 23,26.44,124.72,10013
01/21/2020 24,25.74,124.71,9692
01/22/2020 01,27.42,124.69,9536
01/22/2020 02,27.69,124.68,9428
01/22/2020 03,26.9,124.67,9372
01/22/2020 04,24.94,124.65,9360
01/22/2020 05,27.35,124.64,9472
01/22/2020 06,29.34,124.62,9659
01/22/2020 07,31.73,124.61,10085
01/22/2020 08,35.74,124.61,10573
01/22/2020 09,35.23,124.55,10674
01/22/2020 10,37.38,124.48,10723
01/22/2020 11,37.73,124.29,10748
01/22/2020 12,37.38,124.22,10706
01/22/2020 13,37.21,124.19,10744
01/22/2020 14,35.51,124.19,10704
01/22/2020 15,34.72,124.09,10626
01/22/2020 16,34.5,124,10672
01/22/2020 17,34.57,123.92,10792
01/22/2020 18,37.31,123.63,11072
01/22/2020 19,36.35,123.57,11017
01/22/2020 20,34.67,123.51,10898
01/22/2020 21,34.64,123.48,10814
01/22/2020 22,34.63,123.38,10554
01/22/2020 23,32.06,123.33,10191
01/22/2020 24,34.45,123.3,9927
01/23/2020 01,34.73,123.3,9768
01/23/2020 02,35.19,123.3,9661
01/23/2020 03,35.1,123.3,9588
01/23/2020 04,34.79,123.29,9582
01/23/2020 05,34.75,123.29,9627
01/23/2020 06,34.79,123.29,9816
01/23/2020 07,36.61,123.28,10256
01/23/2020 08,37.37,123.27,10727
01/23/2020 09,36.74,123.2,10937
01/23/2020 10,36.68,123.17,10986
01/23/2020 11,35.18,123.11,10972
01/23/2020 12,35.74,122.97,10994
01/23/2020 13,33.25,122.97,10957
01/23/2020 14,33.03,122.97,10929
01/23/2020 15,32.1,122.96,10900
01/23/2020 16,33.01,122.96,10916
01/23/2020 17,32.9,122.95,11005
01/23/2020 18,34.24,122.94,11255
01/23/2020 19,33.41,122.95,11138
01/23/2020 20,32.2,122.94,10984
01/23/2020 21,32.33,122.94,10832
01/23/2020 22,32.96,122.94,10549
01/23/2020 23,30.23,122.94,10216
01/23/2020 24,31.33,122.93,9913
01/24/2020 01,31.41,122.93,9739
01/24/2020 02,31.22,122.93,9635
01/24/2020 03,31.44,122.94,9570
01/24/2020 04,31.41,122.94,9551
01/24/2020 05,32.71,122.95,9588
01/24/2020 06,31.34,122.95,9735
01/24/2020 07,36.81,122.96,10129
01/24/2020 08,39.28,122.97,10594
01/24/2020 09,39.95,122.97,10798
01/24/2020 10,37.43,122.97,10768
01/24/2020 11,32.86,122.96,10774
01/24/2020 12,33.82,122.95,10713
01/24/2020 13,33.85,122.95,10658
01/24/2020 14,33.86,122.94,10585
01/24/2020 15,29.39,122.93,10559
01/24/2020 16,29.08,122.91,10561
01/24/2020 17,29.11,122.86,10670
01/24/2020 18,34.03,122.79,10898
01/24/2020 19,33.92,122.78,10791
01/24/2020 20,32.59,122.78,10670
01/24/2020 21,29.08,122.77,10551
01/24/2020 22,29.12,122.76,10376
01/24/2020 23,29.11,122.75,10135
01/24/2020 24,29.11,122.73,9841
01/25/2020 01,28.29,122.72,9577
01/25/2020 02,28.98,122.71,9515
01/25/2020 03,26.58,122.71,9433
01/25/2020 04,28.42,122.71,9413
01/25/2020 05,25.84,122.7,9390
01/25/2020 06,25.73,122.7,9483
01/25/2020 07,25.03,122.69,9628
01/25/2020 08,26.41,122.69,9888
01/25/2020 09,28.95,122.69,10106
01/25/2020 10,31.04,122.69,10180
01/25/2020 11,35.99,122.7,10252
01/25/2020 12,36.09,122.71,10219
01/25/2020 13,34.7,122.72,10178
01/25/2020 14,34.72,122.73,10086
01/25/2020 15,34.8,122.74,9997
01/25/2020 16,34.81,122.75,10047
01/25/2020 17,35.52,122.76,10200
01/25/2020 18,36.95,122.77,10549
01/25/2020 19,36.76,122.78,10581
01/25/2020 20,36.68,122.79,10416
01/25/2020 21,36.54,122.8,10285
01/25/2020 22,36.53,122.82,10131
01/25/2020 23,36.52,122.83,9956
01/25/2020 24,36.65,122.84,9739
01/26/2020 01,38.19,122.86,9556
01/26/2020 02,36.53,122.87,9448
01/26/2020 03,36.2,122.88,9403
01/26/2020 04,36.27,122.89,9422
01/26/2020 05,36.21,122.9,9439
01/26/2020 06,36.19,122.92,9475
01/26/2020 07,37.35,122.93,9624
01/26/2020 08,38.12,122.94,9851
01/26/2020 09,38.37,122.95,10054
01/26/2020 10,38.49,122.96,10161
01/26/2020 11,38.53,122.97,10281
01/26/2020 12,38.49,122.98,10319
01/26/2020 13,36.72,122.99,10286
01/26/2020 14,36.71,122.99,10249
01/26/2020 15,36.14,123,10248
01/26/2020 16,34.74,123,10274
01/26/2020 17,35.87,123,10502
01/26/2020 18,36.58,123,10812
01/26/2020 19,36.59,123.01,10821
01/26/2020 20,35.25,123,10698
01/26/2020 21,34.7,123,10554
01/26/2020 22,34.72,123,10358
01/26/2020 23,31.93,123,10033
01/26/2020 24,29.25,122.99,9768
01/27/2020 01,28.99,122.99,9627
01/27/2020 02,28.96,122.98,9557
01/27/2020 03,28.99,122.97,9526
01/27/2020 04,29,122.96,9506
01/27/2020 05,29.56,122.95,9538
01/27/2020 06,31.77,122.95,9739
01/27/2020 07,35.14,122.94,10170
01/27/2020 08,36.34,122.94,10676
01/27/2020 09,38.12,122.95,10834
01/27/2020 10,37.84,122.95,10776
01/27/2020 11,36.63,122.95,10807
01/27/2020 12,36.65,122.95,10789
01/27/2020 13,36.58,122.95,10717
01/27/2020 14,36.46,122.95,10658
01/27/2020 15,34.63,122.95,10586
01/27/2020 16,34.66,122.95,10622
01/27/2020 17,34.64,122.95,10757
01/27/2020 18,36.39,122.95,11063
01/27/2020 19,36.56,122.95,11087
01/27/2020 20,36.08,122.96,10975
01/27/2020 21,34.72,122.96,10810
01/27/2020 22,35.11,122.97,10527
01/27/2020 23,31.65,122.98,10216
01/27/2020 24,29.45,122.98,9933
01/28/2020 01,29.21,122.98,9751
01/28/2020 02,25.66,122.98,9708
01/28/2020 03,30.62,122.98,9651
01/28/2020 04,29.58,122.98,9587
01/28/2020 05,33.25,122.99,9648
01/28/2020 06,35.46,122.99,9843
01/28/2020 07,36.79,122.99,10207
01/28/2020 08,37.01,122.99,10720
01/28/2020 09,58.57,123.03,10841
01/28/2020 10,383.4,123.5,10669
01/28/2020 11,95.23,123.58,10712
01/28/2020 12,72.81,123.63,10750
01/28/2020 13,34.71,123.63,10787
01/28/2020 14,34.64,123.62,10816
01/28/2020 15,34.74,123.61,10775
01/28/2020 16,34.68,123.59,10740
01/28/2020 17,34.69,123.57,10844
01/28/2020 18,35.06,123.55,11106
01/28/2020 19,36.94,123.53,11098
01/28/2020 20,36.53,123.53,10991
01/28/2020 21,34.78,123.52,10862
01/28/2020 22,34.72,123.52,10633
01/28/2020 23,35.61,123.52,10325
01/28/2020 24,35.75,123.52,10021
01/29/2020 01,35.07,123.52,9802
01/29/2020 02,34.73,123.52,9696
01/29/2020 03,34.73,123.52,9597
01/29/2020 04,34.71,123.52,9620
01/29/2020 05,34.62,123.52,9678
01/29/2020 06,34.79,123.51,9900
01/29/2020 07,38.81,123.51,10352
01/29/2020 08,36.69,123.5,10866
01/29/2020 09,43.01,123.5,10931
01/29/2020 10,35.89,123.51,10882
01/29/2020 11,32.91,123.5,10822
01/29/2020 12,32.86,123.5,10761
01/29/2020 13,34.67,123.5,10744
01/29/2020 14,34.74,123.5,10772
01/29/2020 15,34.76,123.5,10843
01/29/2020 16,34.68,123.5,10926
01/29/2020 17,34.76,123.5,11108
01/29/2020 18,41.72,123.51,11288
01/29/2020 19,37.24,123.52,11166
01/29/2020 20,34.73,123.53,10987
01/29/2020 21,34.72,123.53,10803
01/29/2020 22,31.52,123.54,10532
01/29/2020 23,28.13,123.54,10225
01/29/2020 24,29.02,123.54,9869
01/30/2020 01,28.05,123.54,9642
01/30/2020 02,26.1,123.54,9533
01/30/2020 03,27.26,123.54,9500
